time_millisecond,arousal,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
585160,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
590150,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
590150,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
591160,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
592160,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
593170,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
594170,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
597190,0,1,1,300,1000,1,5,1.3,5,5,0,30,30,1,4
649450,0,1,1,300,1000,2,5,1.3,5,0,5,30,30,1,4
649450,0,1,1,300,1000,2,5,1.3,7,0,5,30,30,1,4
649450,0,1,1,300,1000,2,8,1.3,7,0,5,30,30,1,4
659450,0,1,1,300,1000,2,8,1.3,7,1,5,30,30,1,4
659450,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,1,4
659450,0,1,1,300,1000,2,8,1.3,7,2,5,30,30,0,4
659450,0.2737674,1,1,174,773,2,8,1.3,7,2,5,30,30,0,4
659450,0.2737674,1,1,174,773,2,8,1.3,7,2,5,30,83.57396,0,4
660460,0.2737674,1,1,174,773,2,8,1.3,7,3,5,30,83.57396,0,4
660460,0.2737674,1,1,174,773,2,8,1.3,7,4,5,30,83.57396,0,4
660460,0.3104091,1,1,187,810,2,8,1.3,7,4,5,30,83.57396,0,4
660460,0.3104091,1,1,187,810,2,8,1.3,7,4,5,30,81.37546,0,4
661460,0.3104091,1,1,187,810,2,8,1.3,7,5,5,30,81.37546,0,4
661460,0.3104091,1,1,187,810,2,8,1.3,7,6,5,30,81.37546,0,4
661460,0.3493616,1,1,202,849,2,8,1.3,7,6,5,30,81.37546,0,4
661460,0.3493616,1,1,202,849,2,8,1.3,7,6,5,30,79.03831,0,4
662470,0.3493616,1,1,202,849,2,8,1.3,7,7,5,30,79.03831,0,4
662470,0.3733493,1,1,211,873,2,8,1.3,7,7,5,30,79.03831,0,4
662470,0.3733493,1,1,211,873,2,8,1.3,7,7,5,30,77.59904,0,4
663470,0.3772004,1,1,213,877,2,8,1.3,7,7,5,30,77.59904,0,4
663470,0.3772004,1,1,213,877,2,8,1.3,7,7,5,30,77.36797,0,4
664480,0.328785,1,1,194,828,2,8,1.3,7,7,5,30,77.36797,0,4
664480,0.328785,1,1,194,828,2,8,1.3,7,7,5,30,80.2729,0,4
665490,0.328785,1,1,194,828,2,8,1.3,7,7,6,30,80.2729,0,4
665490,0.2842207,1,1,178,784,2,8,1.3,7,7,6,30,80.2729,0,4
665490,0.2842207,1,1,178,784,2,8,1.3,7,7,6,30,82.94676,0,4
666490,0.2534108,1,1,166,753,2,8,1.3,7,7,6,30,82.94676,0,4
666490,0.2534108,1,1,166,753,2,8,1.3,7,7,6,30,84.79535,0,4
667490,0.2035649,1,1,147,703,2,8,1.3,7,7,6,30,84.79535,0,4
667490,0.2035649,1,1,147,703,2,8,1.3,7,7,6,30,87.78611,0,4
668500,0.1668131,1,1,133,666,2,8,1.3,7,7,6,30,87.78611,0,4
668500,0.1668131,1,1,133,666,2,8,1.3,7,7,6,30,89.99121,0,4
669510,0.1398545,1,1,123,639,2,8,1.3,7,6,7,30,89.99121,0,4
669510,0.1398545,1,1,123,639,2,8,1.3,7,6,7,30,91.60873,0,4
670510,0.1171873,1,1,114,617,2,8,1.3,7,6,7,30,91.60873,0,4
670510,0.1171873,1,1,114,617,2,8,1.3,7,6,7,30,92.96877,0,4
671510,0.1017823,1,1,108,601,2,8,1.3,7,6,7,30,92.96877,0,4
671510,0.1017823,1,1,108,601,2,8,1.3,7,6,7,30,93.89306,0,4
672520,0.08923829,1,1,103,589,2,8,1.3,7,5,8,30,93.89306,0,4
672520,0.08923829,1,1,103,589,2,8,1.3,7,5,8,30,94.64571,0,4
673520,0.1201581,1,1,115,620,2,8,1.3,7,5,8,30,94.64571,0,4
673520,0.1201581,1,1,115,620,2,8,1.3,7,5,8,30,92.79051,0,4
674530,0.1965227,1,1,144,696,2,8,1.3,7,5,8,30,92.79051,0,4
674530,0.1965227,1,1,144,696,2,8,1.3,7,5,8,30,88.20864,0,4
675530,0.2890624,1,1,179,789,2,8,1.3,7,5,8,30,88.20864,0,4
675530,0.2890624,1,1,179,789,2,8,1.3,7,5,8,30,82.65626,0,4
676540,0.3703784,1,1,210,870,2,8,1.3,7,5,8,30,82.65626,0,4
676540,0.3703784,1,1,210,870,2,8,1.3,7,5,8,30,77.7773,0,4
677550,0.359815,1,1,206,859,2,8,1.3,7,5,8,30,77.7773,0,4
677550,0.359815,1,1,206,859,2,8,1.3,7,5,8,30,78.4111,0,4
678550,0.3111794,1,1,188,811,2,8,1.3,7,5,8,30,78.4111,0,4
678550,0.3111794,1,1,188,811,2,8,1.3,7,5,8,30,81.32924,0,4
679550,0.2472489,1,1,163,747,2,8,1.3,7,5,8,30,81.32924,0,4
679550,0.2472489,1,1,163,747,2,8,1.3,7,5,8,30,85.16507,0,4
680560,0.2249117,1,1,155,724,2,8,1.3,7,5,8,30,85.16507,0,4
680560,0.2249117,1,1,155,724,2,8,1.3,7,5,8,30,86.50529,0,4
681560,0.2154487,1,1,151,715,2,8,1.3,7,4,9,30,86.50529,0,4
681560,0.2154487,1,1,151,715,2,8,1.3,7,4,9,30,87.07308,0,4
682570,0.2042251,1,1,147,704,2,8,1.3,7,3,10,30,87.07308,0,4
682570,0.2042251,1,1,147,704,2,8,1.3,7,3,10,30,87.7465,0,4
683580,0.1751758,1,1,136,675,2,8,1.3,7,2,11,30,87.7465,0,4
683580,0.1751758,1,1,136,675,2,8,1.3,7,2,11,30,89.48946,0,4
684580,0.1640622,1,1,132,664,2,8,1.3,7,1,12,30,89.48946,0,4
684580,0.1640622,1,1,132,664,2,8,1.3,7,1,12,30,90.15627,0,4
685580,0.306998,1,1,186,806,2,8,1.3,7,1,12,30,90.15627,0,4
685580,0.306998,1,1,186,806,2,8,1.3,7,1,12,30,81.58012,0,4
686590,0.4716106,1,1,249,971,2,8,1.3,7,1,12,30,81.58012,0,4
686590,0.4716106,1,1,249,971,2,8,1.3,7,1,12,30,71.70336,0,4
687590,0.5912189,1,1,294,1091,2,8,1.3,7,1,12,30,71.70336,0,4
687590,0.5912189,1,1,294,1091,2,8,1.3,7,1,12,30,64.52686,0,4
688600,0.5927595,1,1,295,1092,2,8,1.3,7,1,12,30,64.52686,0,4
688600,0.5927595,1,1,295,1092,2,8,1.3,7,1,12,30,64.43443,0,4
689600,0.4844849,1,1,254,984,2,8,1.3,7,1,12,30,64.43443,0,4
689600,0.4844849,1,1,254,984,2,8,1.3,7,1,12,30,70.93091,0,4
690610,0.4077904,1,1,224,907,2,8,1.3,7,1,12,30,70.93091,0,4
690610,0.4077904,1,1,224,907,2,8,1.3,7,1,12,30,75.53258,0,4
691620,0.4077904,1,1,224,907,3,8,1.3,7,0,13,30,75.53258,0,4
691620,0.4077904,1,1,224,907,3,8,1.3,10,0,13,30,75.53258,0,4
691620,0.4077904,1,1,224,907,3,14,1.3,10,0,13,30,75.53258,0,4
691620,0.3532129,1,1,204,853,3,14,1.3,10,0,13,30,75.53258,0,4
691620,0.3532129,1,1,204,853,3,14,1.3,10,0,13,30,78.80723,0,4
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
705780,0,1,1,300,1000,1,5,1.3,5,0,0,30,30,0,0
710770,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,0,4
710770,0,1,1,300,1000,1,5,1.3,5,1,0,30,30,1,4
711780,0,1,1,300,1000,1,5,1.3,5,2,0,30,30,1,4
712780,0,1,1,300,1000,1,5,1.3,5,3,0,30,30,1,4
713790,0,1,1,300,1000,1,5,1.3,5,4,0,30,30,1,4
