time_millisecond,player_speed,zombie_speed,fog_start_dist,fog_end_dist,current_round,zombie_threshold,zombie_increase_power,max_zombie_alive,number_of_alive_zombies,number_of_killed_zombies,grenade_regen_delay,medic_regen_delay,calibrating,adaptation_condition
185263,1,1,1,450,1500,4,30,1.3,15,7,50,30,40,0,3
186269,1,1,1,450,1500,4,30,1.3,15,6,51,30,40,0,3
186269,1,1,1,450,1500,4,30,1.3,15,6,51,30,40,0,3
187268,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
187268,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
188277,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
188277,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
189280,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
189280,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
190288,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
190288,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
191290,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
191290,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
192293,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
192293,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
193300,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
193300,1,1,1,450,1500,4,30,1.3,15,5,52,30,40,0,3
194312,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
194312,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
195315,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
195315,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
196322,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
196322,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
197319,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
197319,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
198323,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
198323,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
199333,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
199333,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
200335,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
200335,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
201340,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
201340,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
202347,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
202347,1,1,1,450,1500,4,30,1.3,15,4,53,30,40,0,3
203353,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
203353,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
204358,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
204358,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
205365,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
205365,1,1,1,450,1500,4,30,1.3,15,3,54,30,40,0,3
206363,1,1,1,450,1500,4,30,1.3,15,2,55,30,40,0,3
206363,1,1,1,450,1500,4,30,1.3,15,2,55,30,40,0,3
207374,1,1,1,450,1500,4,30,1.3,15,2,55,30,40,0,3
207374,1,1,1,450,1500,4,30,1.3,15,2,55,30,40,0,3
208377,1,1,1,450,1500,4,30,1.3,15,1,56,30,40,0,3
208377,1,1,1,450,1500,4,30,1.3,15,1,56,30,40,0,3
209384,1,1,1,450,1500,4,30,1.3,15,1,56,30,40,0,3
209384,1,1,1,450,1500,4,30,1.3,15,1,56,30,40,0,3
210388,1,1,1,450,1500,5,30,1.3,15,0,57,30,40,0,3
210388,1,1,1,450,1500,5,30,1.3,22,0,57,30,40,0,3
210388,1,1,1,450,1500,5,83,1.3,22,0,57,30,40,0,3
210388,1,1,1,450,1500,5,83,1.3,22,0,57,30,40,0,3
210388,1,1,1,450,1500,5,83,1.3,22,0,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,1,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,2,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,3,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,4,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,5,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,6,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,7,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,8,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,9,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,10,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,11,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,12,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,13,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,14,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,15,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,16,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,17,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,18,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,19,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,20,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,21,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
220388,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
221393,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
221393,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
222399,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
222399,1,1,1,450,1500,5,83,1.3,22,22,57,30,40,0,3
223402,1,1,1,450,1500,5,83,1.3,22,22,58,30,40,0,3
223403,1,1,1,450,1500,5,83,1.3,22,22,58,30,40,0,3
223403,1,1,1,450,1500,5,83,1.3,22,22,58,30,40,0,3
224414,1,1,1,450,1500,5,83,1.3,22,21,60,30,40,0,3
224414,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
224414,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
224414,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
225418,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
225418,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
226420,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
226420,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
227424,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
227424,1,1,1,450,1500,5,83,1.3,22,22,60,30,40,0,3
